0_RfR 0,0_RfR 1,1_RfR 0,1_RfR 1,2_RfR 0,2_RfR 1,3_RfR 0,3_RfR 1,4_RfR 0,4_RfR 1,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.4_Total Costs,A.4_Dike Investment Costs,A.4_Expected Annual Damage,A.4_Expected Number of Deaths,A.5_Total Costs,A.5_Dike Investment Costs,A.5_Expected Annual Damage,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,5,5,0,0,4,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,550168947.0856066,33377116.55719709,516791830.5284095,0.2085076373833425,0.0,22294.05548480975
0,0,0,0,0,0,0,0,0,0,2,5,5,2,4,5,0,0,0,4,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,549922409.6581028,33377116.55719709,516545293.10090566,0.0867153685492711,0.0,36902.14536612161
0,0,0,0,0,0,1,0,0,0,1,4,3,3,1,3,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19494.060721160808
0,0,0,0,0,0,0,0,0,0,2,5,0,1,3,3,5,0,0,5,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,454202380.0950012,36676675.840294495,417525704.2547067,0.0706555688434968,0.0,30111.0330492715
0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,3,5,0,0,0,0,0.0,0.0,0.0,0.0,421589472.6400981,0.0,421589472.6400981,0.0684181584626762,151900000.0,34447.1586819146
0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,4,0,0,0,0,1675428.0144974417,0.0,1675428.0144974417,0.0003514574812768,524183181.6509147,0.0,524183181.6509147,0.2098446938092063,0.0,23076.91881295538
0,0,0,0,0,0,0,0,0,0,2,4,5,1,4,4,5,0,0,0,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,524183181.6509147,0.0,524183181.6509147,0.0874352890871693,0.0,38221.11691021819
0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,5,4,0,0,4,0,658355.1862739522,0.0,658355.1862739522,0.0001350492479165,548876875.4287626,33377116.55719709,515499758.8715655,0.2077296427438305,0.0,22319.45810817389
0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,2,5,0,0,0,0,0.0,0.0,0.0,0.0,433873752.41692287,0.0,433873752.41692287,0.1697892373503533,121200000.0,19715.12617957415
0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,4,2,0,0,4,0,0.0,0.0,0.0,0.0,546776327.1935655,33377116.55719709,513399210.6363684,0.2069516481043185,0.0,22344.86073153804
0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,2,2,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,461329533.4223398,36676675.840294495,424652857.5820453,0.072360091144202,0.0,29554.415727394186
0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,0,0,0,3,0,0.0,0.0,0.0,0.0,365598751.4511962,30351526.042379983,335247225.4088162,0.1325027074527747,121200000.0,16879.87626552243
0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,4,1,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,530898211.7105483,0.0,530898211.7105483,0.2137829063737809,0.0,22783.72377480362
0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,4,2,0,0,3,0,0.0,0.0,0.0,0.0,551807240.5864503,30351526.042379983,521455714.5440704,0.2088962816566507,61400000.0,23134.29598030749
0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,4,4,2,0,5,0,7332080.219521779,7332080.219521779,0.0,0.0,461821023.7118948,36676675.840294495,425144347.8716003,0.1740556702934459,0.0,17786.80495118561
0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,5,2,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,545346430.1610318,33377116.55719709,511969313.6038348,0.0855293200222107,0.0,37258.67662866219
0,1,0,0,0,0,0,0,0,0,2,5,1,1,3,3,1,0,0,4,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,544922940.7081726,33377116.55719709,511545824.15097547,0.0854639655513528,84600000.0,37329.396536153145
0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,2,4,0,0,0,0,658355.1862739522,0.0,658355.1862739522,5.627051996524209e-05,523137647.4215745,0.0,523137647.4215745,0.0872739383478275,0.0,38372.759418994654
0,0,0,0,1,1,0,0,0,0,2,2,0,3,0,3,1,1,0,2,0,6320800.309666242,6320800.309666242,0.0,0.0,559380055.2354636,27578229.96765524,531801825.2678083,0.089302916199275,61400000.0,37725.90247258754
0,0,0,0,1,1,0,0,0,0,1,5,5,2,2,1,1,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,552081531.854833,33377116.55719709,518704415.2976359,0.2092233004877194,61400000.0,22148.900759192748
0,0,0,0,0,0,1,0,0,0,1,5,0,3,1,4,4,0,0,0,0,571387.3210404394,0.0,571387.3210404394,0.0001190833615168,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19513.024842999446
0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,1,0,0,0,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,529429188.0283487,0.0,529429188.0283487,0.2132388138693019,0.0,22885.502501870527
0,1,0,0,1,0,0,0,0,0,1,4,4,3,0,5,2,2,0,4,0,7332080.219521779,7332080.219521779,0.0,0.0,552541584.3250661,33377116.55719709,519164467.76786906,0.2095958223923005,115300000.0,22133.834361914312
0,0,0,0,1,1,0,0,0,0,2,2,2,2,4,1,1,0,0,0,0,2087771.2827795984,0.0,2087771.2827795984,0.0002037360430541,530506160.0770108,0.0,530506160.0770108,0.0890187438693759,61400000.0,37839.724315822285
0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,5,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,456055766.58039415,36676675.840294495,419379090.74009967,0.0714214566689432,0.0,29877.5967119608
0,0,0,0,1,1,0,0,0,0,2,2,5,1,2,5,1,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,459717023.1993611,36676675.840294495,423040347.3590666,0.071995328844024,61400000.0,29700.97470646115
0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,2,2,0,0,5,0,0.0,0.0,0.0,0.0,266852145.63184172,36676675.840294495,230175469.79154727,0.0934645177485944,182600000.0,10182.1335451224
0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,5,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,529429188.0283487,0.0,529429188.0283487,0.2132388138693019,0.0,22841.193104556845
0,0,0,0,1,1,0,0,0,0,2,1,1,3,2,2,3,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,532213948.5355133,0.0,532213948.5355133,0.0893665165980741,61400000.0,37657.65016749343
0,0,0,0,0,0,0,0,0,0,2,2,4,3,1,4,1,1,0,1,0,6320800.309666242,6320800.309666242,0.0,0.0,555935425.796722,25037214.086173728,530898211.7105483,0.0890762109890754,0.0,37824.54142301382
0,0,0,0,1,1,1,0,0,0,2,4,4,2,1,4,5,0,0,1,0,571387.3210404394,0.0,571387.3210404394,4.961806729866835e-05,462917654.6689503,25037214.086173728,437880440.5827766,0.0714683278373073,182600000.0,32392.059454548194
0,0,0,0,1,0,0,0,0,0,2,1,2,3,0,4,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,531801825.2678083,0.0,531801825.2678083,0.089302916199275,30700000.0,37727.517914314114
0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,2,0,0,4,0,0.0,0.0,0.0,0.0,528062535.56220126,33377116.55719709,494685419.00500417,0.0823358985883078,0.0,39016.08152986155
0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,4,4,0,0,5,0,0.0,0.0,0.0,0.0,248191618.42775828,36676675.840294495,211514942.5874638,0.084984040512463,121200000.0,12419.441227609455
0,0,0,0,0,0,0,0,0,0,1,5,5,0,1,0,1,2,0,1,0,7332080.219521779,7332080.219521779,0.0,0.0,531961222.96942925,25037214.086173728,506924008.88325554,0.2021896387641592,0.0,24163.95194965104
0,0,0,0,1,1,1,0,0,0,1,5,0,3,1,5,5,0,0,3,0,930235.6436500376,0.0,930235.6436500376,0.00024062649717,381368420.09416986,30351526.042379983,351016894.0517899,0.1403430998375628,182600000.0,15170.86640590406
0,0,0,0,1,0,1,0,0,0,1,5,2,0,1,4,2,0,0,3,0,0.0,0.0,0.0,0.0,369802815.7975811,30351526.042379983,339451289.7552011,0.1345890548655383,151900000.0,16089.488756843488
0,0,0,0,0,0,1,0,0,0,1,1,5,0,1,0,1,0,0,2,0,0.0,0.0,0.0,0.0,450398793.643953,27578229.96765524,422820563.6762978,0.1641109810663785,121200000.0,21159.01438170469
0,0,0,0,1,1,0,0,0,0,1,1,0,3,4,5,4,0,0,5,0,2713384.6118496256,0.0,2713384.6118496256,0.0007053747366901,461137040.9697869,36676675.840294495,424460365.1294924,0.1737419688333283,61400000.0,17816.7119466284
0,0,0,0,0,0,0,0,0,0,1,1,5,4,3,5,1,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,462233146.97959983,36676675.840294495,425556471.13930535,0.1742083112505638,0.0,17744.7199083948
0,0,0,0,1,1,0,0,0,0,1,5,3,3,3,2,5,3,0,4,0,8453407.696608048,8453407.696608048,0.0,0.0,552953707.5927712,33377116.55719709,519576591.0355741,0.2097484633494184,61400000.0,22091.749319123504
0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,5,5,0,0,4,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,550168947.0856066,33377116.55719709,516791830.5284095,0.2085076373833425,0.0,22294.05548480975
0,0,0,0,0,0,0,0,0,0,2,5,5,2,4,5,0,0,0,4,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,549922409.6581028,33377116.55719709,516545293.10090566,0.0867153685492711,0.0,36902.14536612161
0,0,0,0,0,0,1,0,0,0,1,4,3,3,1,3,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19494.060721160808
0,0,0,0,0,0,0,0,0,0,2,5,0,1,3,3,5,0,0,5,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,454202380.0950012,36676675.840294495,417525704.2547067,0.0706555688434968,0.0,30111.0330492715
0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,3,5,0,0,0,0,0.0,0.0,0.0,0.0,421589472.6400981,0.0,421589472.6400981,0.0684181584626762,151900000.0,34447.1586819146
0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,4,0,0,0,0,1675428.0144974417,0.0,1675428.0144974417,0.0003514574812768,524183181.6509147,0.0,524183181.6509147,0.2098446938092063,0.0,23076.91881295538
0,0,0,0,0,0,0,0,0,0,2,4,5,1,4,4,5,0,0,0,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,524183181.6509147,0.0,524183181.6509147,0.0874352890871693,0.0,38221.11691021819
0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,5,4,0,0,4,0,658355.1862739522,0.0,658355.1862739522,0.0001350492479165,548876875.4287626,33377116.55719709,515499758.8715655,0.2077296427438305,0.0,22319.45810817389
0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,2,5,0,0,0,0,0.0,0.0,0.0,0.0,433873752.41692287,0.0,433873752.41692287,0.1697892373503533,121200000.0,19715.12617957415
0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,4,2,0,0,4,0,0.0,0.0,0.0,0.0,546776327.1935655,33377116.55719709,513399210.6363684,0.2069516481043185,0.0,22344.86073153804
0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,2,2,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,461329533.4223398,36676675.840294495,424652857.5820453,0.072360091144202,0.0,29554.415727394186
0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,0,0,0,3,0,0.0,0.0,0.0,0.0,365598751.4511962,30351526.042379983,335247225.4088162,0.1325027074527747,121200000.0,16879.87626552243
0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,4,1,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,530898211.7105483,0.0,530898211.7105483,0.2137829063737809,0.0,22783.72377480362
0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,4,2,0,0,3,0,0.0,0.0,0.0,0.0,551807240.5864503,30351526.042379983,521455714.5440704,0.2088962816566507,61400000.0,23134.29598030749
0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,4,4,2,0,5,0,7332080.219521779,7332080.219521779,0.0,0.0,461821023.7118948,36676675.840294495,425144347.8716003,0.1740556702934459,0.0,17786.80495118561
0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,5,2,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,545346430.1610318,33377116.55719709,511969313.6038348,0.0855293200222107,0.0,37258.67662866219
0,1,0,0,0,0,0,0,0,0,2,5,1,1,3,3,1,0,0,4,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,544922940.7081726,33377116.55719709,511545824.15097547,0.0854639655513528,84600000.0,37329.396536153145
0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,2,4,0,0,0,0,658355.1862739522,0.0,658355.1862739522,5.627051996524209e-05,523137647.4215745,0.0,523137647.4215745,0.0872739383478275,0.0,38372.759418994654
0,0,0,0,1,1,0,0,0,0,2,2,0,3,0,3,1,1,0,2,0,6320800.309666242,6320800.309666242,0.0,0.0,559380055.2354636,27578229.96765524,531801825.2678083,0.089302916199275,61400000.0,37725.90247258754
0,0,0,0,1,1,0,0,0,0,1,5,5,2,2,1,1,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,552081531.854833,33377116.55719709,518704415.2976359,0.2092233004877194,61400000.0,22148.900759192748
0,0,0,0,0,0,1,0,0,0,1,5,0,3,1,4,4,0,0,0,0,571387.3210404394,0.0,571387.3210404394,0.0001190833615168,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19513.024842999446
0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,1,0,0,0,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,529429188.0283487,0.0,529429188.0283487,0.2132388138693019,0.0,22885.502501870527
0,1,0,0,1,0,0,0,0,0,1,4,4,3,0,5,2,2,0,4,0,7332080.219521779,7332080.219521779,0.0,0.0,552541584.3250661,33377116.55719709,519164467.76786906,0.2095958223923005,115300000.0,22133.834361914312
0,0,0,0,1,1,0,0,0,0,2,2,2,2,4,1,1,0,0,0,0,2087771.2827795984,0.0,2087771.2827795984,0.0002037360430541,530506160.0770108,0.0,530506160.0770108,0.0890187438693759,61400000.0,37839.724315822285
0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,5,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,456055766.58039415,36676675.840294495,419379090.74009967,0.0714214566689432,0.0,29877.5967119608
0,0,0,0,1,1,0,0,0,0,2,2,5,1,2,5,1,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,459717023.1993611,36676675.840294495,423040347.3590666,0.071995328844024,61400000.0,29700.97470646115
0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,2,2,0,0,5,0,0.0,0.0,0.0,0.0,266852145.63184172,36676675.840294495,230175469.79154727,0.0934645177485944,182600000.0,10182.1335451224
0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,5,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,529429188.0283487,0.0,529429188.0283487,0.2132388138693019,0.0,22841.193104556845
0,0,0,0,1,1,0,0,0,0,2,1,1,3,2,2,3,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,532213948.5355133,0.0,532213948.5355133,0.0893665165980741,61400000.0,37657.65016749343
0,0,0,0,0,0,0,0,0,0,2,2,4,3,1,4,1,1,0,1,0,6320800.309666242,6320800.309666242,0.0,0.0,555935425.796722,25037214.086173728,530898211.7105483,0.0890762109890754,0.0,37824.54142301382
0,0,0,0,1,0,0,0,0,0,2,1,2,3,0,4,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,531801825.2678083,0.0,531801825.2678083,0.089302916199275,30700000.0,37727.517914314114
0,0,0,0,0,0,1,0,0,0,2,2,4,1,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0,432909692.8267192,0.0,432909692.8267192,0.0703427282574621,121200000.0,33232.88863650944
0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,4,5,0,0,0,0,658355.1862739522,0.0,658355.1862739522,5.627051996524209e-05,528279910.2012301,0.0,528279910.2012301,0.0885562312286553,61400000.0,38032.89323712958
0,0,0,0,0,0,0,0,0,0,2,5,2,4,2,4,1,1,0,1,0,6320800.309666242,6320800.309666242,0.0,0.0,557251162.621687,25037214.086173728,532213948.5355133,0.0893665165980741,0.0,37659.265609220005
0,0,0,0,1,1,0,0,0,0,1,5,3,1,1,2,0,0,0,5,0,658355.1862739522,0.0,658355.1862739522,0.0001350492479165,458299108.6453165,36676675.840294495,421622432.805022,0.1722636263639586,61400000.0,17969.77560897092
0,1,0,0,0,0,0,0,0,0,3,4,2,3,4,1,4,0,0,2,0,2087771.2827795984,0.0,2087771.2827795984,0.0001629888344432,557363952.9741311,27578229.96765524,529785723.0064758,0.0710703962579122,84600000.0,47797.83111509751
0,1,0,1,0,0,0,0,0,0,1,2,1,0,1,5,3,3,0,1,0,8453407.696608048,8453407.696608048,0.0,0.0,532359990.59111714,25037214.086173728,507322776.5049434,0.2023373330978982,302400000.0,24092.89847975385
0,0,0,0,0,0,0,0,0,0,2,5,1,0,1,0,2,0,0,4,0,0.0,0.0,0.0,0.0,528062535.56220126,33377116.55719709,494685419.00500417,0.0823358985883078,0.0,39016.08152986155
0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,4,4,0,0,5,0,0.0,0.0,0.0,0.0,248191618.42775828,36676675.840294495,211514942.5874638,0.084984040512463,121200000.0,12419.441227609455
0,0,0,0,0,0,0,0,0,0,1,5,5,0,1,0,1,2,0,1,0,7332080.219521779,7332080.219521779,0.0,0.0,531961222.96942925,25037214.086173728,506924008.88325554,0.2021896387641592,0.0,24163.95194965104
0,0,0,0,1,1,1,0,0,0,1,5,0,3,1,5,5,0,0,3,0,930235.6436500376,0.0,930235.6436500376,0.00024062649717,381368420.09416986,30351526.042379983,351016894.0517899,0.1403430998375628,182600000.0,15170.86640590406
0,0,0,0,1,0,1,0,0,0,1,5,2,0,1,4,2,0,0,3,0,0.0,0.0,0.0,0.0,369802815.7975811,30351526.042379983,339451289.7552011,0.1345890548655383,151900000.0,16089.488756843488
0,0,0,0,1,1,0,0,0,0,1,1,0,3,4,5,4,0,0,5,0,2713384.6118496256,0.0,2713384.6118496256,0.0007053747366901,461137040.9697869,36676675.840294495,424460365.1294924,0.1737419688333283,61400000.0,17816.7119466284
0,0,0,0,0,0,0,0,0,0,1,1,5,4,3,5,1,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,462233146.97959983,36676675.840294495,425556471.13930535,0.1742083112505638,0.0,17744.7199083948
0,0,0,0,1,1,0,0,0,0,1,5,3,3,3,2,5,3,0,4,0,8453407.696608048,8453407.696608048,0.0,0.0,552953707.5927712,33377116.55719709,519576591.0355741,0.2097484633494184,61400000.0,22091.749319123504
0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,5,5,0,0,4,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,550168947.0856066,33377116.55719709,516791830.5284095,0.2085076373833425,0.0,22294.05548480975
0,0,0,0,0,0,0,0,0,0,2,5,5,2,4,5,0,0,0,4,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,549922409.6581028,33377116.55719709,516545293.10090566,0.0867153685492711,0.0,36902.14536612161
0,0,0,0,0,0,1,0,0,0,1,4,3,3,1,3,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19494.060721160808
0,0,0,0,0,0,0,0,0,0,2,5,0,1,3,3,5,0,0,5,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,454202380.0950012,36676675.840294495,417525704.2547067,0.0706555688434968,0.0,30111.0330492715
0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,3,5,0,0,0,0,0.0,0.0,0.0,0.0,421589472.6400981,0.0,421589472.6400981,0.0684181584626762,151900000.0,34447.1586819146
0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,4,4,0,0,0,0,1675428.0144974417,0.0,1675428.0144974417,0.0003514574812768,524183181.6509147,0.0,524183181.6509147,0.2098446938092063,0.0,23076.91881295538
0,0,0,0,0,0,0,0,0,0,2,4,5,1,4,4,5,0,0,0,0,1682809.3485248173,0.0,1682809.3485248173,0.0001474655230888,524183181.6509147,0.0,524183181.6509147,0.0874352890871693,0.0,38221.11691021819
0,0,0,0,0,0,0,0,0,0,1,5,0,2,1,5,4,0,0,4,0,658355.1862739522,0.0,658355.1862739522,0.0001350492479165,548876875.4287626,33377116.55719709,515499758.8715655,0.2077296427438305,0.0,22319.45810817389
0,0,0,0,0,0,1,0,0,0,1,2,2,2,0,2,5,0,0,0,0,0.0,0.0,0.0,0.0,433873752.41692287,0.0,433873752.41692287,0.1697892373503533,121200000.0,19715.12617957415
0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,4,2,0,0,4,0,0.0,0.0,0.0,0.0,546776327.1935655,33377116.55719709,513399210.6363684,0.2069516481043185,0.0,22344.86073153804
0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,2,2,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,461329533.4223398,36676675.840294495,424652857.5820453,0.072360091144202,0.0,29554.415727394186
0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,2,0,0,0,3,0,0.0,0.0,0.0,0.0,365598751.4511962,30351526.042379983,335247225.4088162,0.1325027074527747,121200000.0,16879.87626552243
0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,4,1,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,530898211.7105483,0.0,530898211.7105483,0.2137829063737809,0.0,22783.72377480362
0,0,0,0,1,1,0,0,0,0,1,2,0,0,1,4,2,0,0,3,0,0.0,0.0,0.0,0.0,551807240.5864503,30351526.042379983,521455714.5440704,0.2088962816566507,61400000.0,23134.29598030749
0,0,0,0,0,0,0,0,0,0,1,2,4,4,0,4,4,2,0,5,0,7332080.219521779,7332080.219521779,0.0,0.0,461821023.7118948,36676675.840294495,425144347.8716003,0.1740556702934459,0.0,17786.80495118561
0,0,0,0,0,0,0,0,0,0,2,1,0,1,3,5,2,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,545346430.1610318,33377116.55719709,511969313.6038348,0.0855293200222107,0.0,37258.67662866219
0,1,0,0,0,0,0,0,0,0,2,5,1,1,3,3,1,0,0,4,0,1675428.0144974417,0.0,1675428.0144974417,0.0001464406171986,544922940.7081726,33377116.55719709,511545824.15097547,0.0854639655513528,84600000.0,37329.396536153145
0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,2,4,0,0,0,0,658355.1862739522,0.0,658355.1862739522,5.627051996524209e-05,523137647.4215745,0.0,523137647.4215745,0.0872739383478275,0.0,38372.759418994654
0,0,0,0,1,1,0,0,0,0,2,2,0,3,0,3,1,1,0,2,0,6320800.309666242,6320800.309666242,0.0,0.0,559380055.2354636,27578229.96765524,531801825.2678083,0.089302916199275,61400000.0,37725.90247258754
0,0,0,0,1,1,0,0,0,0,1,5,5,2,2,1,1,1,0,4,0,6320800.309666242,6320800.309666242,0.0,0.0,552081531.854833,33377116.55719709,518704415.2976359,0.2092233004877194,61400000.0,22148.900759192748
0,0,0,0,0,0,1,0,0,0,1,5,0,3,1,4,4,0,0,0,0,571387.3210404394,0.0,571387.3210404394,0.0001190833615168,437849145.9772644,0.0,437849145.9772644,0.1715051434000368,121200000.0,19513.024842999446
0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,4,1,0,0,0,0,1063317.1205287334,0.0,1063317.1205287334,0.0002700984958331,529429188.0283487,0.0,529429188.0283487,0.2132388138693019,0.0,22885.502501870527
0,0,0,0,1,1,0,0,0,0,2,2,2,2,4,1,1,0,0,0,0,2087771.2827795984,0.0,2087771.2827795984,0.0002037360430541,530506160.0770108,0.0,530506160.0770108,0.0890187438693759,61400000.0,37839.724315822285
0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2,5,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,456055766.58039415,36676675.840294495,419379090.74009967,0.0714214566689432,0.0,29877.5967119608
0,0,0,0,1,1,0,0,0,0,2,2,5,1,2,5,1,1,0,5,0,6320800.309666242,6320800.309666242,0.0,0.0,459717023.1993611,36676675.840294495,423040347.3590666,0.071995328844024,61400000.0,29700.97470646115
0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,2,2,0,0,5,0,0.0,0.0,0.0,0.0,266852145.63184172,36676675.840294495,230175469.79154727,0.0934645177485944,182600000.0,10182.1335451224
0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,5,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,529429188.0283487,0.0,529429188.0283487,0.2132388138693019,0.0,22841.193104556845
0,0,0,0,1,1,0,0,0,0,2,1,1,3,2,2,3,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,532213948.5355133,0.0,532213948.5355133,0.0893665165980741,61400000.0,37657.65016749343
0,0,0,0,0,0,0,0,0,0,2,2,4,3,1,4,1,1,0,1,0,6320800.309666242,6320800.309666242,0.0,0.0,555935425.796722,25037214.086173728,530898211.7105483,0.0890762109890754,0.0,37824.54142301382
0,0,0,0,1,0,0,0,0,0,2,1,2,3,0,4,4,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,531801825.2678083,0.0,531801825.2678083,0.089302916199275,30700000.0,37727.517914314114
0,0,0,0,0,0,1,0,0,0,2,2,4,1,2,0,2,0,0,0,0,0.0,0.0,0.0,0.0,432909692.8267192,0.0,432909692.8267192,0.0703427282574621,121200000.0,33232.88863650944
0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,4,5,0,0,0,0,658355.1862739522,0.0,658355.1862739522,5.627051996524209e-05,528279910.2012301,0.0,528279910.2012301,0.0885562312286553,61400000.0,38032.89323712958
0,0,0,0,0,0,0,0,0,0,2,5,2,4,2,4,1,1,0,1,0,6320800.309666242,6320800.309666242,0.0,0.0,557251162.621687,25037214.086173728,532213948.5355133,0.0893665165980741,0.0,37659.265609220005
0,0,0,0,1,1,0,0,0,0,1,5,3,1,1,2,0,0,0,5,0,658355.1862739522,0.0,658355.1862739522,0.0001350492479165,458299108.6453165,36676675.840294495,421622432.805022,0.1722636263639586,61400000.0,17969.77560897092
0,0,0,0,1,1,0,0,0,0,1,4,5,1,0,2,3,0,0,0,0,0.0,0.0,0.0,0.0,526277306.59744185,0.0,526277306.59744185,0.2117932367426832,61400000.0,22935.529615319443
0,0,0,0,1,1,0,0,0,0,2,5,4,1,0,0,2,1,0,0,0,6320800.309666242,6320800.309666242,0.0,0.0,526277306.59744185,0.0,526277306.59744185,0.088247181976118,61400000.0,38076.56283793266
